#nodeA	nodeB
ABL1	BIN1
ABL1	ATM
ABL1	BCR
ABL1	BRCA1
ABL1	BTK
ABL1	CASP9
ABL1	CD19
ABL1	CDC2
ABL1	CDK5
ABL1	CRK
ABL1	CRKL
ABL1	CTNND2
ABL1	DOK1
ABL1	EPHB2
ABL1	XRCC6
ABL1	GRB2
ABL1	HCK
ABL1	INPPL1
ABL1	JAK1
ABL1	JAK2
ABL1	JUN
ABL1	KIT
ABL1	MDM2
ABL1	NCK1
ABL1	PAK2
ABL1	PIK3R1
ABL1	PLSCR1
ABL1	PRKD1
ABL1	PRKDC
ABL1	PTPN6
ABL1	RAD9A
ABL1	RAD51
ABL1	RAD52
ABL1	RAN
ABL1	RASA1
ABL1	RB1
ABL1	RFX1
ABL1	ROS1
ABL1	SH3BP2
ABL1	ST5
ABL1	TP53
ABL1	TRAF6
ABL1	ZAP70
ABL1	PSTPIP1
ABL1	MAP4K1
ABL1	PTPN18
ABL1	PAG1
ABL1	DOK3
ABL1	YTHDC1
ACPP	ERBB2
ACTG1	CYBB
ACTG1	DNASE1
ACTG1	FPR1
ACTG1	LSP1
ACTG1	NCF1
ACTG1	PFN2
ACTG1	PTPRO
ACTG1	VASP
ACTG1	TMSB4Y
ACTG1	ATF7IP
ACTN1	CDK5
ACTN1	CTNNA1
ACTN1	FBP1
ACTN1	LPP
ACTN1	PKD1
ACTN1	PKN1
ACTN1	PTK2
ACTN1	PTPN6
ACTN1	TTN
ACTN1	VCL
ACTN1	XRCC4
ACTN1	CSRP3
ADD1	ADD2
ADD1	ATP1A1
ADD1	CALM1
ADD1	CASP3
ADD1	ID2
ADD1	ID3
ADD1	PRKACA
ADD1	PRKCD
ADD1	ROCK1
ADD1	SPTA1
ADD1	SPTB
ADD2	CALM1
ADD2	FYN
ADD2	PRKACA
ADD2	PRKCD
ADD2	PTPRZ1
ADM	EDN1
ADM	MME
ADA	DPP4
ADA	GRB2
ADA	NR3C1
PARP1	BCL2
PARP1	CASP1
PARP1	CDKN1A
PARP1	CENPA
PARP1	CENPB
PARP1	CTSG
PARP1	ERCC6
PARP1	GZMB
PARP1	MYBL2
PARP1	NFKB1
PARP1	PCNA
PARP1	POU2F1
PARP1	PRKDC
PARP1	RARA
PARP1	RELA
PARP1	RXRA
PARP1	TP53
PARP1	WRN
PARP1	XRCC1
PARP1	XRCC5
PARP1	BUB3
PARP1	SWAP70
PARP1	APTX
PARP1	SFRS12
ADRA2A	ADRBK1
ADRA2A	EIF2B1
ADRA2A	GNAI1
ADRA2A	GNAI2
