#label	score
PIP5K3	NaN
FLJ90586	NaN
GLCCI1	NaN
PARP11	NaN
FAM60A	NaN
ZCCHC7	NaN
ARL6IP6	NaN
FAM76B	NaN
FBXO38	NaN
SAMSN1	NaN
ZFAND3	NaN
NCOA5	NaN
KIAA1632	NaN
MBD6	NaN
C20orf77	NaN
MS4A7	NaN
FAT	NaN
POLR3E	NaN
NPLOC4	NaN
FKSG14	NaN
CEP27	NaN
RRAGD	NaN
EGLN1	NaN
DKFZP686A10121	NaN
FLJ20297	NaN
IL24	NaN
ARHGAP27	NaN
ICOSLG	NaN
FAM107B	NaN
PAN3	NaN
PIP3-E	NaN
C7orf30	NaN
CMPK	NaN
BRI3	NaN
KIAA1333	NaN
LEPROTL1	NaN
PES1	NaN
BRRN1	NaN
DCTN5	NaN
NUP205	NaN
ZNF335	NaN
SEC31L1	NaN
KIAA0907	NaN
PDDC1	NaN
PDCD10	NaN
HYLS1	NaN
NUDT5	NaN
STK40	NaN
SBNO1	NaN
WDR3	NaN
KIAA0746	NaN
C1orf166	NaN
CRISP3	NaN
VPS41	NaN
PBXIP1	NaN
EP400	NaN
C12orf35	NaN
KATNAL1	NaN
NEIL1	NaN
WDTC1	NaN
FOXJ3	NaN
SMEK2	NaN
SCYL2	NaN
HCST	NaN
PPIH	NaN
C1orf116	NaN
LY86	NaN
STX17	NaN
HDHD3	NaN
MAWBP	NaN
NET1	NaN
PSCDBP	NaN
SNF1LK	NaN
UHRF1	NaN
FLJ10006	NaN
LSM14B	NaN
UBR2	NaN
C6orf199	NaN
WDR44	NaN
RNGTT	NaN
BET1L	NaN
CEP110	NaN
SLC38A2	NaN
DCLRE1A	NaN
EXOC1	NaN
C1orf160	NaN
CDC2L6	NaN
DYRK2	NaN
STAG2	NaN
MGC33948	NaN
SLC7A5	NaN
DOT1L	NaN
BACH2	NaN
ARFGEF1	NaN
DKFZp762E1312	NaN
FLJ20647	NaN
FCRL3	NaN
PHGDHL1	NaN
LRCH3	NaN
SAMD4B	NaN
DENND4A	NaN
LSM16	NaN
GAPVD1	NaN
RDM1	NaN
NMD3	NaN
XDH	NaN
UPP1	NaN
EDG4	NaN
FLJ44216	NaN
UGT2B7	NaN
RNF144	NaN
HIST1H2AC	NaN
MLSTD2	NaN
FAM62B	NaN
TRAFD1	NaN
PSMD6	NaN
TRAF3IP3	NaN
KIAA1838	NaN
PPIL5	NaN
TNFSF9	NaN
HECW2	NaN
VCPIP1	NaN
TP53INP1	NaN
VRK1	NaN
LY96	NaN
DHX36	NaN
UTY	NaN
BCL11A	NaN
LUZP5	NaN
PPM1L	NaN
TAF6L	NaN
TAC4	NaN
SV2B	NaN
TXLNA	NaN
STIM2	NaN
KIAA0460	NaN
INSIG2	NaN
ANKRD11	NaN
KIAA0664	NaN
ATF7IP2	NaN
C14orf106	NaN
POGZ	NaN
KLF10	NaN
JMJD1C	NaN
RAB11FIP1	NaN
CCDC50	NaN
VPS35	NaN
MGC2803	NaN
TIAL1	NaN
BRWD1	NaN
FBXW2	NaN
USP25	NaN
C10orf97	NaN
PEG10	NaN
FYTTD1	NaN
CEP192	NaN
DDX3Y	NaN
C6orf111	NaN
SRRM2	NaN
SETBP1	NaN
HSPC049	NaN
CLCN7	NaN
CX3CR1	NaN
KIAA2026	NaN
ZNF276	NaN
C2orf10	NaN
TTC19	NaN
AHDC1	NaN
SAPS2	NaN
EIF1AY	NaN
TMEM66	NaN
CCDC44	NaN
FABP5	NaN
RRM2B	1.10566
RPS21	NaN
NR4A3	NaN
KBTBD4	NaN
PLK2	NaN
BRP44	NaN
AICDA	NaN
DPF2	NaN
IL32	NaN
PPP4R2	NaN
RBAK	NaN
THOC1	NaN
ENC1	NaN
RAPGEF5	NaN
RAD54L	NaN
CDC42SE2	NaN
TEX10	NaN
PTPRT	NaN
THPO	NaN
CLEC2D	NaN
BTLA	NaN
KLRA1	NaN
HSPBAP1	NaN
SLC25A36	NaN
TBRG4	NaN
RAB18	NaN
PTGES	NaN
UQCRB	NaN
ASPM	NaN
YME1L1	NaN
STRBP	NaN
IER3	NaN
SMC2L1	NaN
CDR2	NaN
JOSD3	NaN
ADD3	NaN
SPAG1	NaN
AKAP2	NaN
AKAP10	NaN
PTPRR	NaN
UHMK1	NaN
PPP2R5B	NaN
PPP1R15B	NaN
C12orf22	NaN
SYTL2	NaN
DMWD	NaN
PRIC285	NaN
RBMS1	NaN
hfl-B5	NaN
PNOC	NaN
DKFZp761I2123	NaN
TNK1	NaN
ARIH1	NaN
PLA2G5	NaN
APBB1IP	NaN
PHKG2	NaN
CARD11	2.60101
AKT3	NaN
PDK3	NaN
PDK1	NaN
PDGFD	NaN
PDE4DIP	NaN
BAZ1B	NaN
UNG	0.188601
ZNF384	NaN
ZNF274	NaN
IREB2	NaN
PPM1D	NaN
PRAF1	NaN
ZXDC	NaN
PARP10	NaN
MYCBP2	1.4662
HBXAP	NaN
G3BP2	NaN
BCAR3	NaN
N4BP3	NaN
SLC2A3	NaN
NUFIP2	NaN
TLR7	NaN
MSH5	NaN
ZC3H11A	NaN
PMS1	NaN
EXO1	NaN
TIMP4	NaN
EFHA1	NaN
MAP4K2	NaN
C18orf54	NaN
SLIC1	NaN
CCDC14	NaN
POLR1D	NaN
PPP6C	NaN
CLEC11A	NaN
POFUT1	NaN
MGC13138	NaN
PHLDA1	NaN
FZD9	NaN
SLC35A2	NaN
ZNF587	NaN
OTUB1	NaN
FLJ10808	NaN
MTMR10	NaN
MAN1A2	NaN
MTMR11	NaN
ZNF592	NaN
