#node	p-value
ABL1(25)	0.0345675793724495
ACPP(55)	0.0150126508862101
ACTG1(71)	0.0889461193913118
ACTN1(87)	1.92510142939286e-07
ACY1(95)	7.47903055361414e-05
ADD1(118)	0.375179353895385
ADD2(119)	0.950967187913693
ADM(133)	0.000563873779708674
ADA(100)	0.327904001767118
PARP1(142)	0.150375051993608
ABR(29)	0.117343921743957
ADRA2A(150)	0.826321968326655
ADRB2(154)	7.1933893459344e-05
ACVR1(90)	0.413245516790572
AP1G1(164)	0.986191280033623
AGT(183)	0.926125860535397
ADRBK1(156)	0.183260536415455
ADRBK2(157)	0.88036109689969
AHR(196)	0.0103682300205953
AKT1(207)	0.711605487515375
AKT2(208)	0.296074881997201
ALCAM(214)	0.157224777054981
ALDH1A1(216)	0.572506176149581
ALDH2(217)	0.0309754032504231
ALDH3A1(218)	0.353819114113981
ALDOB(229)	0.998517115082043
ALOX5(240)	0.912805777916514
ALPP(250)	0.763665798756926
A2M(2)	0.13350978159509
BIN1(274)	0.910791112463131
ANGPT1(284)	0.0148457013766803
ANGPT2(285)	0.10658700975329
APC(324)	0.609667532433715
APEX1(328)	7.053682770868e-06
BIRC4(331)	0.997539199664132
ACVRL1(94)	0.303055032532321
BIRC5(332)	0.723283130122418
ABCA1(19)	0.243466688905354
APOE(348)	0.186943053529141
APRT(353)	0.00104267987201071
FAS(355)	0.328288827556717
APAF1(317)	0.469443501410514
AES(166)	0.369297623074706
ARAF(369)	0.187251177042656
TRIM23(373)	0.191453163569513
RHOA(387)	0.989401959717955
RHOC(389)	0.197242911305876
ARHGAP1(392)	0.76425285783612
RND3(390)	0.147211593326848
ACTL6A(86)	0.31748668104597
RHOB(388)	0.281196981182882
ARHGDIB(397)	0.829152709891454
ARNT(405)	0.0875827328245528
ARR3(407)	0.843260784527926
AP2B1(163)	0.88301716164453
ATF1(466)	0.201396444199356
ATF3(467)	0.446100207385357
ATIC(471)	0.00232413517874682
ATM(472)	0.797097394597784
ATP1A1(476)	0.414075252857258
AUH(549)	0.63094390864096
ARRB2(409)	0.00162780787423097
AXL(558)	0.734217868885892
ADAM10(102)	0.227936076991258
B2M(567)	0.162178871591421
BAI1(575)	0.00754527309668851
BAK1(578)	3.44821198977059e-06
BCAT2(587)	2.48365078754859e-06
BCHE(590)	0.325856774769446
BCKDHA(593)	0.856647157420784
BCL2(596)	1.06988061626493e-08
BAG1(573)	3.20864676577714e-07
BAD(572)	0.56749796599642
BCL2L1(598)	0.29473276720259
BCL6(604)	2.63394023183491e-07
BCR(613)	1.58788026677287e-06
CEACAM1(634)	0.666963640725691
BCL2A1(597)	0.273486966228794
BLMH(642)	0.641349301466772
BLR1(643)	0.769583051580518
PCGF4(648)	0.000535209728365226
BMP7(655)	0.791902253198978
BMP6(654)	0.000583743295162759
BMPR1A(657)	0.236603565176218
BNIP1(662)	0.00166425407614983
BNIP2(663)	0.277285783480194
BNIP3(664)	0.781533446805945
BNIP3L(665)	0.288647943927323
CCND1(595)	0.891222837959817
BRCA1(672)	0.0795127780372348
ATR(545)	1.53505810893558e-05
BRAF(673)	0.307095426917871
BST1(683)	0.836675023283913
BTK(695)	0.0284256415619398
BMX(660)	0.942223520019302
BRCA2(675)	0.940822678367924
C1QBP(708)	0.00611098868660546
C1S(716)	0.00628827032575892
C3AR1(719)	0.305662507603477
C5(727)	0.949154329530772
C5AR1(728)	0.427873558701635
DDR1(780)	0.587583480902858
CACNA1A(773)	0.471173769341345
CAD(790)	0.00228863025827394
ATP2B1(490)	0.409738099770722
CALD1(800)	2.32687378549533e-05
CALM1(801)	0.974862364485353
CALR(811)	0.000360640194817769
CAMK2G(818)	0.632767208762222
CAPN3(825)	0.0927796539832859
CASP1(834)	0.970291726915354
CASP3(836)	0.0171392547496951
BIRC3(330)	0.0496525645140886
BIRC2(329)	0.000437681062994318
BLM(641)	0.316790292436801
CASP4(837)	0.0611452229301025
CASP5(838)	0.676371012370944
CASP7(840)	0.277221907456721
CASP8(841)	0.892950767448899
CASP6(839)	0.0121437983508973
CASP9(842)	0.149113525709145
CASP10(843)	9.54027045678632e-06
CAT(847)	0.725937081468246
RUNX1(861)	0.484609923980285
RUNX3(864)	0.174159533842269
RUNX2(860)	0.0120001504542295
CBFB(865)	0.397055729845155
BLK(640)	0.781716247747209
BTG1(694)	0.985986594160104
AREG(374)	0.644223458070543
CCNB1(891)	0.35313441434542
CD3D(915)	0.995568108030912
CD2(914)	0.829113506666768
